Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6913bcb2ab08132ad9aefe86,67059f2dc5b623cb8a13d549,AWAITING REVIEW,Not Applicable,2025-11-11T22:46:28.844000Z,2025-11-11T22:59:20.250000Z,,2025-11-11T22:59:20.672568Z,772.0,CURFFCKX,220,Woman (including Trans Female/Trans Woman),30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6913bcb5012002dcc87e4eb8,668ea5f8d8d2828d43828bf7,AWAITING REVIEW,Not Applicable,2025-11-11T22:46:27.548000Z,2025-11-11T23:05:56.314000Z,,2025-11-11T23:05:56.703706Z,1169.0,CURFFCKX,722,Woman (including Trans Female/Trans Woman),52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6913bcca006075f47d1f9470,5c0fe8b95096c60001f16140,AWAITING REVIEW,Not Applicable,2025-11-11T22:46:38.506000Z,2025-11-11T22:54:24.508000Z,,2025-11-11T22:54:24.889935Z,467.0,CURFFCKX,212,Woman (including Trans Female/Trans Woman),32,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bcd94f170ebbb053a24d,614c6fffc986ba38f129ea93,AWAITING REVIEW,Not Applicable,2025-11-11T22:46:54.775000Z,2025-11-11T22:54:54.280000Z,,2025-11-11T22:54:54.804592Z,480.0,CURFFCKX,277,Woman (including Trans Female/Trans Woman),42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bd2dbcde424038235a07,5f84e472052cf81ae5752252,AWAITING REVIEW,Not Applicable,2025-11-11T22:48:16.589000Z,2025-11-11T23:00:02.344000Z,,2025-11-11T23:00:02.762395Z,706.0,CURFFCKX,8096,Woman (including Trans Female/Trans Woman),35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6913bd3ad887d1699d309e11,6685edfed53019929829885d,AWAITING REVIEW,Not Applicable,2025-11-11T22:48:39.388000Z,2025-11-11T23:03:23.232000Z,,2025-11-11T23:03:23.654282Z,884.0,CURFFCKX,1913,Woman (including Trans Female/Trans Woman),22,Female,Asian,Bangladesh,United Kingdom,Bangladesh,English,Yes,Full-Time
6913bd58dcf141d2ad5b58c1,669eba3ad8d7d49177bc50d0,AWAITING REVIEW,Not Applicable,2025-11-11T22:48:56.186000Z,2025-11-11T23:11:23.415000Z,,2025-11-11T23:11:23.837195Z,1348.0,CURFFCKX,1543,Woman (including Trans Female/Trans Woman),63,Female,Mixed,India,United Kingdom,United Kingdom,English,No,Full-Time
6913bdb7ead679aabdcbaf24,5c5d36bc034e280001644c3b,AWAITING REVIEW,Not Applicable,2025-11-11T22:50:45.277000Z,2025-11-11T23:09:29.605000Z,,2025-11-11T23:09:30.005036Z,1125.0,CURFFCKX,4960,Woman (including Trans Female/Trans Woman),58,Female,Asian,Zimbabwe,United Kingdom,United Kingdom,English,No,Full-Time
6913bdd672f182daaac9228d,5987030cfd8cca00015cbc26,AWAITING REVIEW,Not Applicable,2025-11-11T22:51:06.833000Z,2025-11-11T23:08:29.434000Z,,2025-11-11T23:08:29.830555Z,1043.0,CURFFCKX,6113,Woman (including Trans Female/Trans Woman),61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913be2a7e6f658b6c0aeecc,59ce5e24aeef3b0001021a58,AWAITING REVIEW,Not Applicable,2025-11-11T22:52:29.795000Z,2025-11-11T23:03:09.721000Z,,2025-11-11T23:03:10.118122Z,640.0,CURFFCKX,490,Woman (including Trans Female/Trans Woman),39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
